"","Yorumlar","Sentiment","Duygu"
"492","süper insansın ithafın tüylerimi",0.9,"Pozitif"
"493","anime cosplaylerigt",0.2,"Pozitif"
"494","kadim ejderha",0.3,"Pozitif"
"495","gözler doldu",0.5,"Pozitif"
"496","lol",0.3,"Pozitif"
"497","sayfayı takip ettiğim zamanlarda abone sayısı +k idi an neredeyse olacak baş koyduğun yolda başarılarının devamını dilerim",0.6,"Pozitif"
"498","ejderha shop yoksa gösteride efektlerlemi yapıldı",0,"Nötr"
"499","merhaba ozcan sey sormak isterdim oyunlarda kadin erkek kac oranda oynuyorlar",0,"Nötr"
"500","bırakın oyunu sigortalı işe girin",0,"Nötr"
"501","sağlık",0.9,"Pozitif"
"502","ah faker ah ağlattılar",0.3,"Pozitif"
"503","internet dilini yorumlara yazılanları anlayamayan uzaylılar çekermisiniz",-0.3,"Negatif"
"504","oppa dendi",0.3,"Pozitif"
"505","bilgili içerik çekebilirsin",0,"Nötr"
"506","hayranlıkla izlediğim kanal",0.4,"Pozitif"
"507","twitche dönmesini söylediklerin quotanne gel izleteceğimquot dediğini irdelediğin kişiler birine keskin kısmı gösterirken diğerlerine geç diyorsun geri dön derken",-0.2,"Negatif"
"508","kanalın sunuşu iyi",0.8,"Pozitif"
"509","rakan moruq sup sal",0.3,"Pozitif"
"510","",0,"Nötr"
"511","mesleki seminer dersinde sunu hazırlayacağım sunuda yer vermek istiyorum videonu kullanabilir miyim sınıfa anlatacağım maks kişi",0,"Nötr"
"512","spor fiziksel yada zihinsel gelişim gösterdiğimiz etkinlikler değilmidir öyledir satranç nasıl spor yerinde bilgisayar oyunlarıda spordur",0.5,"Pozitif"
"513","espor spordur neden<br>spor fiziksel yapılan şeylerden ibarettir örneği satranç",0,"Nötr"
"514","endustri uzerine yapabilir misin yorumlarini merakla bekliyorum aydin",0.5,"Pozitif"
"515","güzel rahmet eylesin süleymanoğluna",0.9,"Pozitif"
"516","anlamlıydı",0.3,"Pozitif"
"517","legendsss",0.3,"Pozitif"
"518","güzel etkinlikler fakat espor uygunsuz kullanım tabiki spor",0.1,"Pozitif"
"519","merak etme oyunlar dediklerin kitap okumak film izlemek birşey olmalı",0,"Nötr"
"520","",0,"Nötr"
"521","yapmasını biliyor",0.3,"Pozitif"
"522","sonunda istemsizce ağladım",0.7,"Pozitif"
"523","sendemi",0.3,"Pozitif"
"524","attın",0.3,"Pozitif"
"525","urgot main",0.5,"Pozitif"
"526","supportları adamdan supportluk bitmiş",0.3,"Pozitif"
"527","bide insanlar kafayı yemiş toplanıp oyun turnuvası izliyolar nesli gelecekte merak millet para kazaniyo bizimkiler zombi geziyolar",-0.4,"Negatif"
"528","son detay iyi sağlik",0.8,"Pozitif"
"529","çaldığın müziğin ismi",-0.1,"Negatif"
"530","güney kore denilince",0.2,"Pozitif"
"531","legends",0.5,"Pozitif"
"532","seferinde konuyu güzel yerlere bağladığın",0.9,"Pozitif"
"533","turkiyedeki iyi guzel icerikli kanal konuya nesnel yaklasip acisiyla ele alan kanal",0.9,"Pozitif"
"534","",0,"Nötr"
"535","yassah karşim yassah <a 📓",0.6,"Pozitif"
"536","na ithaf yapman güzel",0.9,"Pozitif"
"537","👏👏👏",0.2,"Pozitif"
"538","spor diyen sporcuya hakaret",-0.3,"Negatif"
"539","süleymanoğlunu eklemen güzel diline sağlık güzel içerikler üretiyorsun aynen",0.9,"Pozitif"
"540","yaptın yapacağını",0.3,"Pozitif"
"541","mainim adc arada<br>+",0.5,"Pozitif"
"542","+",0.2,"Pozitif"
"543","iyi twicthe cidden geri rahmet eylesinsonda süleymanoğlunu görğnce tutamadım güzel anlamlı son takip videolarınızıçok yararlı hayata bakış açımı değiştiren güzel şeylerle hala okusam hukukçu olmanızdan dolayıgeleceğe karşı kaygılarım hayat hikayenizden dolayı nebze hafifliyor <br> kısacası abiiyi varsın",0.9,"Pozitif"
"544","tamamı",0.3,"Pozitif"
"545","anneme gösterdim tamam ol dedi",0.2,"Pozitif"
"546","endüstri paylaşımda bulunabilir misiniz",0,"Nötr"
"547","herhalde evinde beyaz tshirt tane kareli düz üzere gömlek aldımşu adresini ver yollayayım",-0.5,"Negatif"
"548","hızlı okuma teknikleriyle yapsana önemli konu <br>",0.6,"Pozitif"
"549","sonunu güzel bağlamış derin ah çektirdi",0.9,"Pozitif"
"550","son kaç videodur etkileyici kapanıslar yapıyorsunuz iyi yapıyorsunuz izleyen kişinin son dakıka tüyleri oluyor bitiyor örnegın dakıkalık dakıkasında anlattıgınız önemsizleşiyor son dakıka paylasmak tekrar izlemek acayip ilham kaynagı saglıyor işinizi ıyı yapıyorsunuz kaliteli anlattıgı konuda bılgı sahibi insanlara quot damardan girenquot içeriklerinizin bitişi mukemmel ederım başarılarınızın devamını dılerım",0.5,"Pozitif"
"551","black friday hakkinda eklerseniz sevinirdik",0.6,"Pozitif"
"552","size diyorum lol cs oynayanlar siz siz varya kendinizi kandırın siz başka hiçbir oyun oynamadan pro gamer olamazsınız",-0.6,"Negatif"
"553","gunde",0.3,"Pozitif"
"554","adamsin",0.3,"Pozitif"
"555","kesinlikle hayir",0.3,"Pozitif"
"556","kauntri strayk",0.3,"Pozitif"
"557","yeni btc denilen wcxe el atar mısın",0,"Nötr"
"558","sonunda ciddi anlamda",0.9,"Pozitif"
"559","",0,"Nötr"
"560","skt bebeğim",0.3,"Pozitif"
"561","",0,"Nötr"
"562","öğretmenler günün kutlu unutmaki bize bilmediklerimizi öğrettin",0.6,"Pozitif"
"563","spor",0.4,"Pozitif"
"564","adım adım milyon",0.2,"Pozitif"
"565","suleyman naimogluyla kapanis mukemmel olmus elinize saglik",0.9,"Pozitif"
"566","<a",0.6,"Pozitif"
"567","muhteşem tribute bitti ani duygusallık uyarısı koyulmalı başına",0.9,"Pozitif"
"568","yıl önce e sporcu lisansımı aldım kenarda duruyor tozlanıyor oyuncuyuz felan boş yıllardır oyun oynayıp bilgisayar başında zaman çürüten hale geldim baktım yaşlanmışım üniversite bitti türkiye gerçekleri gönül isterdi cosplay yapacak param conlara catılayım yada oyun etkinliklerine gideyim dünyayı gezeyim olmuyor bunları yapmak para lazım ülkemizde biz ailemizin istediği hayatı yaşamaya mahkumuz öteki türlü kapıyı gösteriyorlar heveslenip yeteneğim şeyleri yapmak istedimki bunlar boş iş boşa harcanan zaman nitelendirildi baktımki dışımda birçok insan istediği hayatı yaşıyor yaşamayı planlıyor ailesi arkadaşları onlara destek oluyor burdan şunu anladım quot yanlış zamanda yanlış yerde insandımquot saygılar",-0.4,"Negatif"
"569","saananeizlerim",0.3,"Pozitif"
"570","kitaba oyuna özendiriyosun hızına yetişemiyoruz",-0.6,"Negatif"
"571","bilgisayar üzerinden poster yapmam gerekiyor edebilir misiniz",0,"Nötr"
"572","cs atak",-0.1,"Negatif"
"573","kafa nakli konusuna el atabilir misin üstad",0.3,"Pozitif"
"574","<a",0.6,"Pozitif"
"575","abinin ranked girip yasuo mid salin dediğini dusunsenize",0.3,"Pozitif"
"576","lol",0.3,"Pozitif"
"577","güzel",0.9,"Pozitif"
"578","üstad kelimeler kifayetsiz bizler yorumsuz",0.9,"Pozitif"
"579","millet ülkesinde sıkıntı cıkıcaa internet alt yapısı yapmış şaka",-0.2,"Negatif"
"580","big bang teory başlayan yapsana",0.3,"Pozitif"
"581","adamsin basris",0.3,"Pozitif"
"582","<a pazar",0.6,"Pozitif"
"583","oturarak spor olmaz 🕲",-0.1,"Negatif"
"584","nicola tesla görüşlerini merak insan çekermisin merakla bekliyorum",0.2,"Pozitif"
"585","izlediğimde hayranlıkla gıptayla bakıyorum inşaallah olurum",0,"Nötr"
"586","",0.1,"Pozitif"
"587","çocuk",0.3,"Pozitif"
"588","spordur uğraş",0.1,"Pozitif"
"589","çalışma ellerinize sağlık gençken online oyun oynamıştım bağımlılık yapıyor kontrol altına almazsanız hayatınızı olumsuz yönde etkileyebiliyor",0.8,"Pozitif"
"590","sakalı sakın kesme 🙠",-0.3,"Negatif"
"591","wolfteam zulanın turnuvası",-0.4,"Negatif"
"592","bır sonrakı vıdeo konusu <br> ana kok soy alt soy + leyin",0.1,"Pozitif"
"593","biliyodum",0.3,"Pozitif"
"594","chrisshyy",0.3,"Pozitif"
"595","cahil insan oyunu bilmiyor kafası saçma şeylere çalışsada oyunu bilmiyor şaka minecraft oynamayı bilmiyodur git dijital dünyayı tanı<br><br><br><br><br><br>deseler dersiniz",-0.3,"Negatif"
"596","sevgili videolarını paylaşımlarını beğeniyorum kişiliğini karakterini yol haritanı belirlemede haydarpaşa daki günlerininin etkisi orayı normalinden yıl geç kazanmış birisiyim halen ordayım pharmacy seninle yerde okumaktan mutluluk duyuyorum cevap verirsen sevinirim günlerin fotoğtaflarını paylaşırsan musmutlu olurum",0.4,"Pozitif"
"597","ramajuan üzerine iyi olurdu sonsuzluk teorisi",0.2,"Pozitif"
"598","tüylerimizi ettin",0.9,"Pozitif"
"599","konser derken",0.3,"Pozitif"
"600","nun sonunda göz yaşlarımı tutamayacağım aklıma gelmezdi konunun birden süleymanoğluna bağlanması mekanın cennet cep",0,"Nötr"
"601","normalde e spor oynayan biriyim nasıl anlattıysan defa görüyormuşum hissettim tebrikler",0,"Nötr"
"602","yorumu görüyorsan yeni videon diksiyon konusuna değinirsen iyi",0.3,"Pozitif"
"603","yakında milyon❤",0.3,"Pozitif"
"604","konuda insanların bilgilendirilmesi güzel bişey",0.9,"Pozitif"
"605","sex sporlarıda olmalı yanlışmıyım",-0.1,"Negatif"
"606","muhteşem detaysın",0.3,"Pozitif"
"607","",0,"Nötr"
"608","türkçeye çevirebilir gözüme sürekli çarpıyor moruk ozcan sal",0.4,"Pozitif"
"609","son",0.9,"Pozitif"
"610","bot pre girelim support olurum bak p",-0.1,"Negatif"
"611","kennys",0.3,"Pozitif"
"612","nahif insan oluşunuzdan ötürü sizi sevgili",0.9,"Pozitif"
"613","white noise yapmalısın",-0.5,"Negatif"
"614","öğretmenler günün kutlu",0.6,"Pozitif"
"615","öğretmenler günün kutlu sevgili bugünün önemini düşününce aklıma babam geldi birde hayata katkıda kırılsam amacımdan sevmekten vazgeçmemeyi baktığım herhangi şeyde ona güzel bişey biliyosan paylaşmaktan mutluluk duymayı öğrettiğin teşekkür varlığınla mutluluk duyuyoruz",0.8,"Pozitif"
"616","kapanış muhteşem",0.9,"Pozitif"
"617","hadi toplanın koreye yaşamaya gidiyoruz",0.4,"Pozitif"
"618","boks kafes dövüşü mma iki insanın birbirini dövmesine yönelik faaliyetler spor kapsamına giriyorsa oyun turnuvaları rahatlıkla spor kategorisine girebilir dediğiniz oyunlarda olmazsa kimse kimseye fiziksel zarar vermiyor",0.5,"Pozitif"
"619","sponsorlu içerik nasıl yapılır bilen etmek gerek",0.5,"Pozitif"
"620","jenerik muziginin fi dizisininkine benzeten miyim",0.1,"Pozitif"
"621","voah içim kıpır kıpır sonunda ağlattın saygılar elektronik spora uzaylı sayılanlardanım saygı duyuyorum destekliyorum kafa sporu spor illa elle ayakla kasla",0.9,"Pozitif"
"622","spordur gayet güzel açıklamış sın ağzına sağlık",0.9,"Pozitif"
"623","üstat kullandığınız mikrofon mxl usb dimi ses kalitesinde bariz fark geliyo",-0.4,"Negatif"
"624","nasıl kralsın ⚜️",0,"Nötr"
"625","aklımdaydı yemin bişi yapar acaba | arada dota açılış seçimini yapacağını kesin tahmin ettim cümlenden",0.1,"Pozitif"
"626","güzel sondu 🜺",0.9,"Pozitif"
"627","dan büyüledin birde ejderderha",0.1,"Pozitif"
"628","hayır oynamalarına lafım severim nedir hayatının düşünme kabiliyetini resmen katlediyorsun birde teşvik ediliyor spor olmaz",0.4,"Pozitif"
"629","lolcü çıktı beyler insanoğlundan umudu kesebiliriz",0.6,"Pozitif"
"630","gob fatih",0.4,"Pozitif"
"631","azerbaycandan selamlar <b>deep web<b> hakkinda yukeyin zehmet olmasa",0.1,"Pozitif"
"632","spor",0.4,"Pozitif"
"633","dolar in yükselişi hakkinda yapabilirmisin",-0.1,"Negatif"
"634","yeni spoiler mickey mouseun doğum günü hakkinda olucak",0.3,"Pozitif"
"635","sword art online tam dalış yapa bilcekmiyiz gelecekte",0.1,"Pozitif"
"636","<a duygusay biriiyim ağladım lan burda",0.4,"Pozitif"
"637","spor",0.4,"Pozitif"
"638","sonunu efsaneye güzel bağlamışsınız teşekkür",0.9,"Pozitif"
"639","kardeş amaç eğlence anladın belkide bilememessin kamera karşısında xd",0.4,"Pozitif"
"640","senden bişey isticem kaç çekermisin evrensellik insanlıkla biliyorum din vs girmiyorsun seninde dediğin uyanmamız lazım",0.3,"Pozitif"
"641","oha",0.3,"Pozitif"
"642","nerden biliyorsun",0.1,"Pozitif"
"643","sufizm yapar mısın çocuğunuzun ismini sufi koyduğunuza akıma bayağı aşinasınızdır düşünüyorum",0.2,"Pozitif"
"644","nikola tesla yapar misin",0.6,"Pozitif"
"645","<br>tüylerim",0.2,"Pozitif"
"646","spor dediğin fizikseldir diyicem cıkıp fareye klavyeye basıyo yo dıyıcek",0.1,"Pozitif"
"647","katilin gözyaşları seri katilin hayatı<br>sadece ekitap google play kitaplar kobodan ulaşabilirsiniz",0.3,"Pozitif"
"648","gerçekler kaybolursa sanal ortamda kaybolur pc başında spor olmaz kaldıkş futbol oynayanları seyretmek bize katmıyorsa oyun oynayarak ancak zaman öldürürüz sonuç sıfır gerçek hayata değer katamayız",0,"Nötr"
"649","sultan reşattan selam yıllık lol e spordayım twich e donebilirm",0.6,"Pozitif"
"650","ders çalışırken verimli alabileceğimiz yollarla çeker misiniz",0.3,"Pozitif"
"651","<a yassah gardeşim yassah🠠🐠hiç beklemiyodum🐠",0.3,"Pozitif"
"652","basarilarinin devamini dilerim acaba arastirma konusu flylotusvevo kanalindaki videolarin amaci nedir bizi aydinlatirmisin",-0.1,"Negatif"
"653","kaç kişi sorduysa yorumda<br>adam sonunda kameranın markasını yazmış",0.2,"Pozitif"
"654","sayın ara vakit bulursanız manço nun günümüzün devrine dönemine hitab eden hemşerim memleket nire şarkısı manası ingilizce alt yazılı yapabilirseniz tadından varlığınız emekleriniz sonsuz teşekkür",0.9,"Pozitif"
"655","kafa nakli hazırlarsan iyi anlatımın izlemek isterim",0.9,"Pozitif"
"656","vatandaşlık verilen yapay zekalı robot sophia çekmeyi düşünüyormusun",0.2,"Pozitif"
"657","suleymanoglunu gorunce gozlerim yasardi🙭",0.3,"Pozitif"
"658","roket bilimini anlatirmisiniz",0.1,"Pozitif"
"659","league legends👧",0.2,"Pozitif"
"660","futbolu izlemeyi sevmiyorum lol dota vs izlemeyi sevmiyorum hayvaninsan dövüşleri izlemeyi sevmiyorum tam uzaylıyım galiba afdjskdjssk",0.4,"Pozitif"
"661","spordur",0.3,"Pozitif"
"662","hazreti ysauo izlemeye edin siz onlar paraya çevirsin",-0.3,"Negatif"
"663","",0,"Nötr"
"664","spor saçmalığını sonunu merak insanların akıl sağlıklarını kaybetmemesi duası arada milyon genci oyuna harcadıktan koreli yöneticiler pişman mıdır bilinmez",-0.6,"Negatif"
"665","sayın süleymanoğlunu birleştirdiğiniz kısmı beğendim güzel elinize emeğinize sağlık",0.9,"Pozitif"
"666","iyi ederiz",0.9,"Pozitif"
"667","lol candır",0.2,"Pozitif"
"668","<a firmayı incelemenizi rica edeceğim türkiyede tip çalışmalar yapan firmaların tanıtılması gerektiği kanaatindeyim",0.1,"Pozitif"
"669","sonunda süleymanoğlunu görünce ağladım",0.5,"Pozitif"
"670","reklam koktu sanki",-0.5,"Negatif"
"671","güzeldi sağlık",0.9,"Pozitif"
"672","adamlardaki gurura bak promise sırf bilerek oyunu verdim intihar etmiş oyundan kaynaklanan intihar yaptığı yanlışı gururuna yediremediği dürüst birisi gerçi adamlar yanlış utanılacak yaptıklarında kaldıramıyorlar halbuki adamlar müslümanda değiller",-0.5,"Negatif"
"673","bariş şimdiden",0.3,"Pozitif"
"674","mükkemmelsin e spora değinip süleyman oğluna ithaf etmen ellerine sağlık",0.9,"Pozitif"
"675","senden ricam olacak izleyicilerinle haftada su kitap okuma hedef koyabilir misin kitaplardan birini belirle hafta ayri kitap belirlersin bizde bittikten geri kalan zamanda istediklerimizi okuruz nedense söyleyince etkili oluyor seviliyorsun",0.7,"Pozitif"
"676","içeriklerle günümüz olayları tarafsız bakış açısıyla videolar hazırlıyorsun emeğine sağlık <a",0.9,"Pozitif"
"677","pidecidemi çalışıyorsunuz gordum pidecide karamanda",0.3,"Pozitif"
"678","konumuz dünya yalan dünya iyileri yer bitirir dünya kötü iyi merak üçe ayrilir iyi iyidir kötü yü açmicam yazmak ömrümü alir son merak duygusu sikinti stres yapar meraktan öte sey gördüğün şeyi başkasina inandirmak zoru görmeden inanmazlar aranizda görenler vardir onlara tavsiyem iyisi olmamiş davranmak hayrettin paşa",0.5,"Pozitif"
"679","vücudumdaki bütün oeganların son sahnede hıçkıra hıçkıra ağlamasına gururlanmasına olduğunuz teşekkür",0.8,"Pozitif"
"680","legends şarkısını güzel kullanmışsın",0.7,"Pozitif"
"681","beyin sporu ruhsal sıkıntı olabilir",0,"Nötr"
"682","roket bilimi çek",0.3,"Pozitif"
"683","zaman bükülmesi çekebilirmisin",0.4,"Pozitif"
"684","duman ettin bizi",-0.4,"Negatif"
"685","uzun zamandır vlog çekmiyorsun ağabeyumarım yakın zamanda vlog izleyebiliriz",0.8,"Pozitif"
"686","çalan şarkı",0.4,"Pozitif"
"687","son dakika",-0.1,"Negatif"
"688","kaliteli tekrar karşımıza çıktınız burada mutlu eden favori oyununuzun starcraft olması yaşındayım oyunumdur senesinden yana hemde yolunuz açık",0.9,"Pozitif"
"689","herseyi geçtim senelerdir buralardaymissin haberimiz olmamis niye dunya capinda taninan okul okul gezen programlarca dolasan parti kurup iktidar dahi degilsin boyle insanlar tv lerde gormuyoruz kesfetmemiz seneler alıyor laannn",-0.7,"Negatif"
"690","<a",0.6,"Pozitif"
"691","yeme bizi sende lolcusun icimden ses dia sun diyor",-0.4,"Negatif"
"692","adamsin birader adammm",0.3,"Pozitif"
"693","kadim ejder güzeldi",0.3,"Pozitif"
"694","ara oyuna quotsen başla seversin birlikte diyen arkadaşların gazıyla başlamıştım tür oyunlara ilgi duymadığımdan kısa sürede bıraktım zamanlar az oyun güzel geliyordu ancak şuan saçmalıktan başka oyun oynamak şahsen zarar insanın araya toplanıp oynayanları canlı canlı izlemesi havalı gözükmesi denildiği üzere efekt girişler hızlı anlatım işe heyecan katmak oyun oynamayı seven ancak abartılmaması gerektiğini boyutlara gelmemesi gerektiğini düşünen birisiyim okuduğunuz",0,"Nötr"
"695","serefsiz geber pislik abimi kandiriyosun agla engelli hhdmwbdksnsnmsb",0.4,"Pozitif"
"696","yaşam biçimidr ikiside",0.3,"Pozitif"
"697","<b>video sonunun mükemmelliği<b>",0.2,"Pozitif"
"698","lol",0.3,"Pozitif"
"699","dota efsanesi herkes oynamaz reklamı olmaz gerçek odur çoğu lol oyuncusu dota zor olduğu lol oynamaya başlamıştır arada dota zordu kısa yollar yoktu grafik kötü gerçek oyuncuların oynadığı efsaneydi son online oyun spordur zevk alıyorsun diyenler futbolda geliyor kişi top görüyorum dota karakter farklı kişilik özelliklere sahip güncelleniyor yeni kalıyor",0,"Nötr"
"700","sonunda topu doksana takıyorsun bariş",0.1,"Pozitif"
"701","özcana taş atmayın gerekirse atın ona atmayın",0,"Nötr"
"702","dota gt lol",0.3,"Pozitif"
"703","esporda profesyonel oyuncu olanlara kolay diyenler boş insanlar",0.6,"Pozitif"
"704","abimize iyi jungle yakışır",0.4,"Pozitif"
"705","et kitap yazdım edersen yazar olucam lütfen<br>yaşındayım",0,"Nötr"
"706","sex",0,"Nötr"
"707","<a",0.6,"Pozitif"
"708","hoca ormana dalın üstüne başlamış geçen yolcu hocaya seslenmiş insan oturduğu dalı keser şimdi adama aldırmamış işine dal cumburlop yerden perişan seslenmiş<br>düşeceğimi bildin zaman öleceğimi söyle nasretti n hoca videosu müthiş olurdu",0.3,"Pozitif"
"709","spor",0.4,"Pozitif"
"710","dolu güzel bağladı",0.9,"Pozitif"
"711","🞠🎠kisiyim",0.3,"Pozitif"
"712","belgesel yada filmler üzerinden gelse keşke sevdiğiniz sevdiğinizle birlikte izle serisindeki herşeyi izlemiştim tane hariç mainstream film dizilerdi",0.1,"Pozitif"
"713","ciddi sapkınlık bağımlılık geliyor normal",0.4,"Pozitif"
"714","barıs dönüs yapin",0,"Nötr"
"715","sakal aşırı yakışmış",0,"Nötr"
"716","legend dieeeeee",0.6,"Pozitif"
"717","arkadaş nasıl videolar üretiyorsun finalle kapatıp sıkmadan nasıl konsept düzenliyorsun dinlediğim müzikleri beğenme listeme alıyorum normalde iki videon fazladan",-0.1,"Negatif"
"718","hayal satın almak yerine hayallerimizi inşa etmemiz gerekir oyun oynuyorum kısmi faydası hayatta detaycı oluyorsunuz kurgusal hareket edebiliyorsunuz oyun geçerli tabiki lakin abartmamak lazım son fiziksel eforun olmadığı hiçbir aktivite spor",0.3,"Pozitif"
"719","güzel ağzınızdan süleymanoğlunuda dinlemek isteriz",0.9,"Pozitif"
"720","üstad güzel videolar yapıyorsun oyun işi sakat insanın dünyaya gelmesi amaç amaç insan günde gün eğlenir mi<br>bağımlılık hastalıktır başkalarına faydası olmayan boş",0.4,"Pozitif"
"721","dinler çek",0,"Nötr"
"722","legends",0.5,"Pozitif"
"723","lol",0.3,"Pozitif"
"724","hayir haraketsiz zararli bisey spor olamaz",-0.4,"Negatif"
"725","reıs boynuma dola",0.3,"Pozitif"
"726","bitcoin yaparmisin",0.1,"Pozitif"
"727","oyundan nefret çocuk oyunu",-0.8,"Negatif"
"728","videoları p izleseniz kalitenin bozulmadığı",0.1,"Pozitif"
"729","knight oyunların atası yavrusu metin silkroad warcraft",0.2,"Pozitif"
"730","quotgeçmişte yaşam tehlikeli olduğu ciddiye alınmış ciddi olduğu ilginç olmuştur insan doğası değişmezse tehlike olmayınca hayatın tadı kalmayacak heyecan bulmak umuduyla insanlar türlü aşağılık kötülüklere  <br>bertrand russell",-0.3,"Negatif"
"731","favorim <a şok bıçaklı zed",0.2,"Pozitif"
"732","<br>metin",0.2,"Pozitif"
"733","adamin videosunda tuylerim oluyo",-0.4,"Negatif"
"734","hah lol geldi",0.6,"Pozitif"
"735","muhtemelen pek görülmicek anlamlı güzel günümüzün popileritesine ait spor kültüründen gençliğin yöneldiği alandan bahsedip boyle incelikleriyle anlatıp detayli araştırma yapip güzel örnekleyici alintilarla anlatım yapıp degerlerimize değinip başladığın worlds turnuvasinin baslagiyla baslayip başladığın nokta bitirip noktayi anlatmissin ağzına emeğine sağlık son sözleri turnuvanın müziğinin cevirisini yapıp cep herkülünü koyman inceydi teşekkürlrr",0.8,"Pozitif"
"736","spor espordur nasıl eski postacılar şimdi mail arasında fark varsa spor espor arasında fark vardır",0.1,"Pozitif"
"737","aslında dijital müsabaka mantıklı geliyor",0.2,"Pozitif"
"738","<a",0.6,"Pozitif"
"739","cevap veriyorumaynı anda si birden radyo+tv olduğu diğerleri olmaya edicek yenilerle birlikte",0.1,"Pozitif"
"740","harikasınnn",0.3,"Pozitif"
"741","space soldiers ❤️❤️❤️ anlayanlar likedı ckdkkdkd",0.1,"Pozitif"
"742","bitirmek süper ellerinize sağlık",0.9,"Pozitif"
"743","esporun sporla yakından alakası beyni sanal alemde yormaktan zaman öldürmekten başka taraftan turnuvalar yap diğer taraftanda bağımlılar hastaneler",0.1,"Pozitif"
"744","",0.3,"Pozitif"
"745","olmasan bizi kimse anlamayacak",-0.4,"Negatif"
"746","lulu mid sal",-0.4,"Negatif"
"747","ağlattın <a",0.8,"Pozitif"
"748","yasah kardaşım",0.3,"Pozitif"
"749","twitch e geri döüyom",-0.2,"Negatif"
"750","sonunda gerçek efsaneyi unutmadığın",0.9,"Pozitif"
"751","",0,"Nötr"
"752","sakalı uzatırsan iyi",0.4,"Pozitif"
"753","hayali konuşmalar serisinde atatürkü yaparmısın",0,"Nötr"
"754","güzel şeysin",0.9,"Pozitif"
"755","<a",0.6,"Pozitif"
"756","yazabileceğim sosyal medya hesabın bulamadım milli piyango çekilişinde çıkan numaralar çeyrek bilete çıkıyor türlü kafamda denkleştiremedim şunun cevabını çıkan numaralara ait yarım tam bilet 🢄 aydınlat",-0.5,"Negatif"
"757","konuşma menini nasıl ezberliyosunuz",0,"Nötr"
"758","sonunda gözümüzden yaş usta",0.8,"Pozitif"
"759","iyiydi",0.3,"Pozitif"
"760","merhaba yeni katıldım arkadaşımın önerisiyle etkilendiğimi söylemek zorundayım biz gençlerin sizin insanlara ihtiyacı",0.7,"Pozitif"
"761","detay sın sonunda ağlattın",0.9,"Pozitif"
"762","zihin sporu olabilir",0.1,"Pozitif"
"763","uzaylıymışım",0.3,"Pozitif"
"764","sevgili nefis bilgiler içeriyor konularda dikkat çektiğiniz noktalar önemli ayrıca etkileyici",0.9,"Pozitif"
"765","başkan gurbet duygusal yapmış son kaç videodur hazırlıksız vuruyosun bizi ofis ortamında gözler doluyor",0.6,"Pozitif"
"766","lol oynamak yetenek zeka hizli refleksler gerektirin oyun onune gelen oynayamaz profesyonel oyuncularin boyunca oyun oynamasini gayet normal buluyorum cunku lol saniyenin onemi normal hayatta saniye size kisa gelebilir lol saniye size dakikaymis geliyor size ornek vermek istiyorum oynun zor sampiyonlarindan lee sin sampiyonunun kombosunu ele alalim q++w+r+q+e hicbir item alinmamis haldeyken eger aktif esya aldiysaniz onu baamaniz gerekir hareketi saniye surede yapmaniz gerekir yuzden pc oyuncularina gerekli saygiyi gostermemiz lazim saygilarla",0,"Nötr"
"767","pixels filminden kareler konu farklı detay olabilirdi gayet güzel",0.8,"Pozitif"
"768","nasil seysin coook",0.7,"Pozitif"
"769","süpersin",0.3,"Pozitif"
"770","müthiş detaysın sonunu güzel bağladın",0.9,"Pozitif"
"771","merhaba sizin paylaşmış olmanız gururlandırdı çünki senedir imkanlarım gereğince kendimi geliştirmek istediğim konu oyundu espordu keşke ailem yada arkadaşlarım destek olsalardı şimdi internet kafede sabahına çalışıp akşamına oyunda iyi kalıyorum benden birşey olmassada intihar edicem çünki hayata bağlanma sebebim buyken aileme sölemişken ailemin destek olmiyicam demesi yapıcakları kötü davranmamak bilgisayar oynamama izin vermek evde bilgisayar vardı neyse buraya yazmam içimi dökmek istediğim anlayabilicek olgun birini görmemden kast herhalde türkçemde böle biliyim yazıca gelince abuk subuk konusurum anlamasanızda herşeyi kiritk yeri anlasanızda mutlu olurum azından siz çocugunuzun istediği birşeyi umutla bağlandığı birşeyi görün destek olun",-0.3,"Negatif"
"772","defa videonuzu hoş karşılamadım işin ardını bilmiyorum",0.4,"Pozitif"
"773","faker",0.3,"Pozitif"
"774","samimi zaman numarasın",0.7,"Pozitif"
"775","videon iyi <br>keske counter strike daki dünya sampiyonlugumuzdan bahsetseydin",0.8,"Pozitif"
"776","kitap önerileri bekliyoruz 💄",0.5,"Pozitif"
"777","canı gönülden gururlandim teşekkür",0.9,"Pozitif"
"778","ejderha orda kafayı bulmuşum",0.2,"Pozitif"
"779","yüreğine sağlık güzel anlatım iyiki varsın",0.9,"Pozitif"
"780","korusun başınıza birşey gelirse emin olun siz kişi quotefsanequot doğrusu youtuber efsanesi kalırsa başınıza bişey gelmesine gerek şuan",0.1,"Pozitif"
"781","sende espor suncucuları konuşarak çekmişssin diğer videolardan bambaşka olduğunu farkettim",0.1,"Pozitif"
"782","nası videodur canım cıkıldıkça açıp açıp son saniyeyi tekrar tekrar izliyorum yapan ellerin dert görmesin",0.8,"Pozitif"
"783","boş yapma lolcü ergenleri yapmiş mq",-0.3,"Negatif"
"784","disklike atanlar süleymanoğlunun rakipleri",0.3,"Pozitif"
"785","tartışmasız türkiyenin iyi youtuberısın",0.9,"Pozitif"
